sample_id,model,prompt_version,winner_main,lang_code,winner_swap,swap_consistent
par3_hum_gt_de_0006,anthropic/claude-sonnet-4.6,main,B,de,A,1
par3_hum_gt_de_0008,anthropic/claude-sonnet-4.6,main,A,de,B,1
par3_hum_gt_de_0011,anthropic/claude-sonnet-4.6,main,B,de,A,1
par3_hum_gt_de_0012,anthropic/claude-sonnet-4.6,main,B,de,A,1
par3_hum_gt_de_0016,anthropic/claude-sonnet-4.6,main,A,de,B,1
par3_hum_gt_de_0018,anthropic/claude-sonnet-4.6,main,A,de,A,0
par3_hum_gt_de_0022,anthropic/claude-sonnet-4.6,main,A,de,B,1
par3_hum_gt_de_0024,anthropic/claude-sonnet-4.6,main,B,de,B,0
par3_hum_gt_de_0029,anthropic/claude-sonnet-4.6,main,A,de,B,1
par3_hum_gt_de_0030,anthropic/claude-sonnet-4.6,main,A,de,B,1
par3_hum_gt_de_0031,anthropic/claude-sonnet-4.6,main,A,de,B,1
par3_hum_gt_de_0034,anthropic/claude-sonnet-4.6,main,A,de,B,1
par3_hum_gt_de_0037,anthropic/claude-sonnet-4.6,main,B,de,A,1
par3_hum_gt_de_0039,anthropic/claude-sonnet-4.6,main,B,de,A,1
par3_hum_gt_de_0040,anthropic/claude-sonnet-4.6,main,A,de,B,1
par3_hum_gt_de_0045,anthropic/claude-sonnet-4.6,main,A,de,A,0
par3_hum_gt_de_0046,anthropic/claude-sonnet-4.6,main,B,de,A,1
par3_hum_gt_fr_0145,anthropic/claude-sonnet-4.6,main,A,fr,B,1
par3_hum_gt_fr_0149,anthropic/claude-sonnet-4.6,main,A,fr,B,1
par3_hum_gt_fr_0150,anthropic/claude-sonnet-4.6,main,B,fr,B,0
par3_hum_gt_fr_0153,anthropic/claude-sonnet-4.6,main,B,fr,A,1
par3_hum_gt_fr_0154,anthropic/claude-sonnet-4.6,main,A,fr,B,1
par3_hum_gt_fr_0156,anthropic/claude-sonnet-4.6,main,A,fr,B,1
par3_hum_gt_fr_0157,anthropic/claude-sonnet-4.6,main,A,fr,B,1
par3_hum_gt_fr_0158,anthropic/claude-sonnet-4.6,main,B,fr,A,1
par3_hum_gt_fr_0161,anthropic/claude-sonnet-4.6,main,B,fr,A,1
par3_hum_gt_fr_0166,anthropic/claude-sonnet-4.6,main,B,fr,A,1
par3_hum_gt_fr_0171,anthropic/claude-sonnet-4.6,main,A,fr,B,1
par3_hum_gt_fr_0172,anthropic/claude-sonnet-4.6,main,B,fr,A,1
par3_hum_gt_fr_0174,anthropic/claude-sonnet-4.6,main,A,fr,B,1
par3_hum_gt_fr_0178,anthropic/claude-sonnet-4.6,main,B,fr,A,1
par3_hum_gt_ru_0257,anthropic/claude-sonnet-4.6,main,B,ru,A,1
par3_hum_gt_ru_0269,anthropic/claude-sonnet-4.6,main,B,ru,A,1
par3_hum_gt_ru_0273,anthropic/claude-sonnet-4.6,main,B,ru,A,1
par3_hum_gt_ru_0274,anthropic/claude-sonnet-4.6,main,B,ru,A,1
par3_hum_gt_ru_0276,anthropic/claude-sonnet-4.6,main,B,ru,A,1
par3_hum_gt_ru_0278,anthropic/claude-sonnet-4.6,main,B,ru,A,1
