sample_id,model,winner_main,lang_code,winner_minimal,prompt_consistent
par3_hum_gt_de_0006,google/gemini-3-flash-preview,B,de,B,1
par3_hum_gt_de_0008,google/gemini-3-flash-preview,A,de,A,1
par3_hum_gt_de_0011,google/gemini-3-flash-preview,B,de,B,1
par3_hum_gt_de_0012,google/gemini-3-flash-preview,B,de,B,1
par3_hum_gt_de_0015,google/gemini-3-flash-preview,A,de,A,1
par3_hum_gt_de_0016,google/gemini-3-flash-preview,A,de,A,1
par3_hum_gt_de_0018,google/gemini-3-flash-preview,A,de,A,1
par3_hum_gt_de_0019,google/gemini-3-flash-preview,A,de,A,1
par3_hum_gt_de_0022,google/gemini-3-flash-preview,A,de,A,1
par3_hum_gt_de_0024,google/gemini-3-flash-preview,A,de,A,1
par3_hum_gt_de_0029,google/gemini-3-flash-preview,A,de,A,1
par3_hum_gt_de_0030,google/gemini-3-flash-preview,B,de,A,0
par3_hum_gt_de_0031,google/gemini-3-flash-preview,A,de,A,1
par3_hum_gt_de_0034,google/gemini-3-flash-preview,A,de,A,1
par3_hum_gt_de_0037,google/gemini-3-flash-preview,B,de,B,1
par3_hum_gt_de_0039,google/gemini-3-flash-preview,B,de,B,1
par3_hum_gt_de_0040,google/gemini-3-flash-preview,A,de,A,1
par3_hum_gt_de_0045,google/gemini-3-flash-preview,B,de,B,1
par3_hum_gt_de_0046,google/gemini-3-flash-preview,B,de,B,1
par3_hum_gt_fr_0139,google/gemini-3-flash-preview,A,fr,A,1
par3_hum_gt_fr_0145,google/gemini-3-flash-preview,A,fr,A,1
par3_hum_gt_fr_0149,google/gemini-3-flash-preview,A,fr,A,1
par3_hum_gt_fr_0150,google/gemini-3-flash-preview,B,fr,B,1
par3_hum_gt_fr_0153,google/gemini-3-flash-preview,B,fr,B,1
par3_hum_gt_fr_0154,google/gemini-3-flash-preview,A,fr,A,1
par3_hum_gt_fr_0156,google/gemini-3-flash-preview,A,fr,A,1
par3_hum_gt_fr_0157,google/gemini-3-flash-preview,A,fr,A,1
par3_hum_gt_fr_0158,google/gemini-3-flash-preview,B,fr,A,0
par3_hum_gt_fr_0161,google/gemini-3-flash-preview,B,fr,B,1
par3_hum_gt_fr_0166,google/gemini-3-flash-preview,B,fr,B,1
par3_hum_gt_fr_0169,google/gemini-3-flash-preview,A,fr,A,1
par3_hum_gt_fr_0171,google/gemini-3-flash-preview,A,fr,A,1
par3_hum_gt_fr_0172,google/gemini-3-flash-preview,B,fr,B,1
par3_hum_gt_fr_0174,google/gemini-3-flash-preview,A,fr,A,1
par3_hum_gt_fr_0178,google/gemini-3-flash-preview,B,fr,B,1
par3_hum_gt_ru_0257,google/gemini-3-flash-preview,B,ru,B,1
par3_hum_gt_ru_0259,google/gemini-3-flash-preview,B,ru,B,1
par3_hum_gt_ru_0261,google/gemini-3-flash-preview,B,ru,B,1
par3_hum_gt_ru_0266,google/gemini-3-flash-preview,B,ru,A,0
par3_hum_gt_ru_0269,google/gemini-3-flash-preview,B,ru,B,1
par3_hum_gt_ru_0270,google/gemini-3-flash-preview,A,ru,A,1
par3_hum_gt_ru_0273,google/gemini-3-flash-preview,B,ru,B,1
par3_hum_gt_ru_0274,google/gemini-3-flash-preview,B,ru,B,1
par3_hum_gt_ru_0276,google/gemini-3-flash-preview,B,ru,B,1
par3_hum_gt_ru_0278,google/gemini-3-flash-preview,B,ru,B,1
