sample_id,model,prompt_version,winner_main,lang_code,winner_swap,swap_consistent
par3_hum_gt_de_0006,openai/gpt-5.4,main,B,de,A,1
par3_hum_gt_de_0008,openai/gpt-5.4,main,A,de,A,0
par3_hum_gt_de_0011,openai/gpt-5.4,main,B,de,A,1
par3_hum_gt_de_0012,openai/gpt-5.4,main,B,de,A,1
par3_hum_gt_de_0015,openai/gpt-5.4,main,A,de,A,0
par3_hum_gt_de_0016,openai/gpt-5.4,main,A,de,B,1
par3_hum_gt_de_0018,openai/gpt-5.4,main,B,de,A,1
par3_hum_gt_de_0019,openai/gpt-5.4,main,A,de,A,0
par3_hum_gt_de_0022,openai/gpt-5.4,main,A,de,B,1
par3_hum_gt_de_0024,openai/gpt-5.4,main,B,de,A,1
par3_hum_gt_de_0029,openai/gpt-5.4,main,A,de,B,1
par3_hum_gt_de_0030,openai/gpt-5.4,main,B,de,A,1
par3_hum_gt_de_0031,openai/gpt-5.4,main,A,de,B,1
par3_hum_gt_de_0034,openai/gpt-5.4,main,A,de,B,1
par3_hum_gt_de_0037,openai/gpt-5.4,main,B,de,A,1
par3_hum_gt_de_0039,openai/gpt-5.4,main,B,de,A,1
par3_hum_gt_de_0040,openai/gpt-5.4,main,A,de,B,1
par3_hum_gt_de_0045,openai/gpt-5.4,main,B,de,A,1
par3_hum_gt_de_0046,openai/gpt-5.4,main,B,de,A,1
par3_hum_gt_fr_0139,openai/gpt-5.4,main,A,fr,B,1
par3_hum_gt_fr_0145,openai/gpt-5.4,main,A,fr,B,1
par3_hum_gt_fr_0149,openai/gpt-5.4,main,A,fr,B,1
par3_hum_gt_fr_0150,openai/gpt-5.4,main,B,fr,A,1
par3_hum_gt_fr_0153,openai/gpt-5.4,main,B,fr,A,1
par3_hum_gt_fr_0154,openai/gpt-5.4,main,A,fr,B,1
par3_hum_gt_fr_0156,openai/gpt-5.4,main,A,fr,B,1
par3_hum_gt_fr_0157,openai/gpt-5.4,main,A,fr,B,1
par3_hum_gt_fr_0158,openai/gpt-5.4,main,B,fr,A,1
par3_hum_gt_fr_0161,openai/gpt-5.4,main,B,fr,A,1
par3_hum_gt_fr_0166,openai/gpt-5.4,main,B,fr,A,1
par3_hum_gt_fr_0169,openai/gpt-5.4,main,B,fr,A,1
par3_hum_gt_fr_0171,openai/gpt-5.4,main,B,fr,B,0
par3_hum_gt_fr_0172,openai/gpt-5.4,main,B,fr,A,1
par3_hum_gt_fr_0174,openai/gpt-5.4,main,A,fr,B,1
par3_hum_gt_fr_0178,openai/gpt-5.4,main,B,fr,A,1
par3_hum_gt_ru_0257,openai/gpt-5.4,main,B,ru,A,1
par3_hum_gt_ru_0259,openai/gpt-5.4,main,B,ru,B,0
par3_hum_gt_ru_0261,openai/gpt-5.4,main,B,ru,A,1
par3_hum_gt_ru_0266,openai/gpt-5.4,main,A,ru,B,1
par3_hum_gt_ru_0269,openai/gpt-5.4,main,B,ru,A,1
par3_hum_gt_ru_0270,openai/gpt-5.4,main,A,ru,B,1
par3_hum_gt_ru_0273,openai/gpt-5.4,main,B,ru,A,1
par3_hum_gt_ru_0274,openai/gpt-5.4,main,B,ru,A,1
par3_hum_gt_ru_0276,openai/gpt-5.4,main,B,ru,A,1
par3_hum_gt_ru_0278,openai/gpt-5.4,main,B,ru,A,1
