sample_id,model,prompt_version,winner_main,lang_code,winner_swap,swap_consistent
par3_hum_gt_de_0006,x-ai/grok-4.20-beta,main,B,de,A,1
par3_hum_gt_de_0008,x-ai/grok-4.20-beta,main,A,de,B,1
par3_hum_gt_de_0011,x-ai/grok-4.20-beta,main,B,de,A,1
par3_hum_gt_de_0012,x-ai/grok-4.20-beta,main,B,de,A,1
par3_hum_gt_de_0015,x-ai/grok-4.20-beta,main,A,de,B,1
par3_hum_gt_de_0016,x-ai/grok-4.20-beta,main,A,de,B,1
par3_hum_gt_de_0018,x-ai/grok-4.20-beta,main,B,de,A,1
par3_hum_gt_de_0019,x-ai/grok-4.20-beta,main,A,de,B,1
par3_hum_gt_de_0022,x-ai/grok-4.20-beta,main,A,de,B,1
par3_hum_gt_de_0024,x-ai/grok-4.20-beta,main,A,de,B,1
par3_hum_gt_de_0029,x-ai/grok-4.20-beta,main,A,de,B,1
par3_hum_gt_de_0030,x-ai/grok-4.20-beta,main,A,de,B,1
par3_hum_gt_de_0031,x-ai/grok-4.20-beta,main,A,de,B,1
par3_hum_gt_de_0034,x-ai/grok-4.20-beta,main,A,de,B,1
par3_hum_gt_de_0037,x-ai/grok-4.20-beta,main,B,de,A,1
par3_hum_gt_de_0039,x-ai/grok-4.20-beta,main,B,de,A,1
par3_hum_gt_de_0040,x-ai/grok-4.20-beta,main,A,de,B,1
par3_hum_gt_de_0045,x-ai/grok-4.20-beta,main,B,de,A,1
par3_hum_gt_de_0046,x-ai/grok-4.20-beta,main,B,de,A,1
par3_hum_gt_fr_0139,x-ai/grok-4.20-beta,main,A,fr,B,1
par3_hum_gt_fr_0145,x-ai/grok-4.20-beta,main,A,fr,B,1
par3_hum_gt_fr_0149,x-ai/grok-4.20-beta,main,A,fr,B,1
par3_hum_gt_fr_0150,x-ai/grok-4.20-beta,main,B,fr,A,1
par3_hum_gt_fr_0153,x-ai/grok-4.20-beta,main,B,fr,A,1
par3_hum_gt_fr_0154,x-ai/grok-4.20-beta,main,A,fr,B,1
par3_hum_gt_fr_0156,x-ai/grok-4.20-beta,main,A,fr,B,1
par3_hum_gt_fr_0157,x-ai/grok-4.20-beta,main,A,fr,B,1
par3_hum_gt_fr_0158,x-ai/grok-4.20-beta,main,B,fr,B,0
par3_hum_gt_fr_0161,x-ai/grok-4.20-beta,main,B,fr,A,1
par3_hum_gt_fr_0166,x-ai/grok-4.20-beta,main,B,fr,A,1
par3_hum_gt_fr_0169,x-ai/grok-4.20-beta,main,A,fr,B,1
par3_hum_gt_fr_0171,x-ai/grok-4.20-beta,main,A,fr,B,1
par3_hum_gt_fr_0172,x-ai/grok-4.20-beta,main,B,fr,A,1
par3_hum_gt_fr_0174,x-ai/grok-4.20-beta,main,A,fr,B,1
par3_hum_gt_fr_0178,x-ai/grok-4.20-beta,main,B,fr,A,1
par3_hum_gt_ru_0257,x-ai/grok-4.20-beta,main,B,ru,A,1
par3_hum_gt_ru_0259,x-ai/grok-4.20-beta,main,B,ru,A,1
par3_hum_gt_ru_0261,x-ai/grok-4.20-beta,main,A,ru,A,0
par3_hum_gt_ru_0266,x-ai/grok-4.20-beta,main,A,ru,B,1
par3_hum_gt_ru_0269,x-ai/grok-4.20-beta,main,B,ru,A,1
par3_hum_gt_ru_0270,x-ai/grok-4.20-beta,main,A,ru,B,1
par3_hum_gt_ru_0273,x-ai/grok-4.20-beta,main,B,ru,A,1
par3_hum_gt_ru_0274,x-ai/grok-4.20-beta,main,B,ru,A,1
par3_hum_gt_ru_0276,x-ai/grok-4.20-beta,main,B,ru,A,1
par3_hum_gt_ru_0278,x-ai/grok-4.20-beta,main,B,ru,A,1
